Wed. Aug. 22, 2018             LANDSAT 7                 Time: 06:17
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L29092669            Path/Row: 197 / 024

L0R Reference Image: L73NSG1118208100100_HDF.182341015
Acquisition Date: Jul 27, 2018

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
197   024   05-25-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1970240001_01   51.402960    7.007963   100.400       5.951     5.715     4.253     7.066
1970240002_01   51.491947    6.737858    80.527       0.653    -3.784     1.615    -3.482
1970240003_01   51.462749    6.748805    87.302       0.328    -1.312     0.657    -1.181
1970240005_01   51.640725    7.636651   102.114       0.194     3.768    -0.797     3.686
1970240006_01   51.712768    7.251035    91.075      -5.748    -1.838    -5.072    -3.271
1970240007_01   51.677770    7.819084   110.510       0.586    -7.413     2.489    -7.003
1970240009_01   51.579670    7.056103   130.914      -0.927    -3.880     0.113    -3.987
1970240010_01   51.393610    7.094620   178.940      -2.622    -4.366    -1.396    -4.897
1970240011_01   51.346117    7.044894   295.363       1.428     0.214     1.320     0.578
1970240012_01   50.835965    6.968721    99.390      -2.616    -7.272    -0.633    -7.701
1970240013_01   51.382513    5.334898    67.972      -1.817     2.814    -2.485     2.245
1970240016_01   51.508625    7.083339    90.705       2.165    -2.673     2.783    -2.016
1970240017_01   51.369090    6.705127    85.004      -2.924    -2.857    -2.079    -3.519
1970240018_01   51.346360    7.458877   264.857       3.089     3.549     2.053     4.228
1970240020_01   51.579938    7.105454   107.297      -0.661    -5.089     0.685    -5.085
1970240021_01   51.403204    7.171861   116.502       2.262    -2.798     2.908    -2.111
1970240023_01   51.444542    7.210792   185.294       4.929     7.050     2.919     8.087
1970240025_01   50.926178    6.928078    98.363      -0.960    -0.204    -0.876    -0.447
1970240026_01   51.298713    7.386455   370.589      -1.390    -5.879     0.186    -6.034
1970240027_01   50.974237    7.055428   100.429       2.137    -1.230     2.380    -0.631
1970240028_01   51.252603    7.133989   191.601      -0.022     5.523    -1.462     5.323
