"Time","relative_humidity.mean {site_location: fhz}"
2018-07-26 22:00:00,40.9
2018-07-26 22:02:00,41.0
2018-07-26 22:04:00,41.1
2018-07-26 22:06:00,41.1
2018-07-26 22:08:00,41.0
2018-07-26 22:10:00,41.1
2018-07-26 22:12:00,41.2
2018-07-26 22:14:00,41.1
2018-07-26 22:16:00,41.3
2018-07-26 22:18:00,41.2
2018-07-26 22:20:00,41.2
2018-07-26 22:22:00,41.3
2018-07-26 22:24:00,41.3
2018-07-26 22:26:00,41.4
2018-07-26 22:28:00,41.4
2018-07-26 22:30:00,41.6
2018-07-26 22:32:00,41.6
2018-07-26 22:34:00,41.5
2018-07-26 22:36:00,41.7
2018-07-26 22:38:00,41.7
2018-07-26 22:40:00,41.9
2018-07-26 22:42:00,41.9
2018-07-26 22:44:00,41.9
2018-07-26 22:46:00,41.9
2018-07-26 22:48:00,42.1
2018-07-26 22:50:00,42.2
2018-07-26 22:52:00,42.2
2018-07-26 22:54:00,42.4
2018-07-26 22:56:00,42.5
2018-07-26 22:58:00,42.6
2018-07-26 23:00:00,42.7
2018-07-26 23:02:00,43.0
2018-07-26 23:04:00,42.8
2018-07-26 23:06:00,42.7
2018-07-26 23:08:00,42.7
2018-07-26 23:10:00,42.7
2018-07-26 23:12:00,42.4
2018-07-26 23:14:00,42.5
2018-07-26 23:16:00,42.5
2018-07-26 23:18:00,42.3
2018-07-26 23:20:00,42.3
2018-07-26 23:22:00,42.3
2018-07-26 23:24:00,42.3
2018-07-26 23:26:00,42.4
2018-07-26 23:28:00,42.4
2018-07-26 23:30:00,42.5
2018-07-26 23:32:00,42.6
2018-07-26 23:34:00,42.7
2018-07-26 23:36:00,42.9
2018-07-26 23:38:00,42.9
2018-07-26 23:40:00,43.0
2018-07-26 23:42:00,42.9
2018-07-26 23:44:00,42.9
2018-07-26 23:46:00,42.8
2018-07-26 23:48:00,42.8
2018-07-26 23:50:00,42.8
2018-07-26 23:52:00,43.0
2018-07-26 23:54:00,43.1
2018-07-26 23:56:00,43.1
2018-07-26 23:58:00,43.2
2018-07-27 00:00:00,43.2
2018-07-27 00:02:00,43.2
2018-07-27 00:04:00,43.2
2018-07-27 00:06:00,43.3
2018-07-27 00:08:00,43.5
2018-07-27 00:10:00,43.6
2018-07-27 00:12:00,43.7
2018-07-27 00:14:00,43.8
2018-07-27 00:16:00,43.7
2018-07-27 00:18:00,43.7
2018-07-27 00:20:00,43.8
2018-07-27 00:22:00,44.0
2018-07-27 00:24:00,44.1
2018-07-27 00:26:00,44.3
2018-07-27 00:28:00,44.6
2018-07-27 00:30:00,44.9
2018-07-27 00:32:00,45.1
2018-07-27 00:34:00,45.3
2018-07-27 00:36:00,45.4
2018-07-27 00:38:00,45.5
2018-07-27 00:40:00,45.6
2018-07-27 00:42:00,45.8
2018-07-27 00:44:00,46.4
2018-07-27 00:46:00,46.5
2018-07-27 00:48:00,46.6
2018-07-27 00:50:00,47
2018-07-27 00:52:00,46.8
2018-07-27 00:54:00,46.7
2018-07-27 00:56:00,46.9
2018-07-27 00:58:00,47.1
2018-07-27 01:00:00,47.3
2018-07-27 01:02:00,47.6
2018-07-27 01:04:00,47.6
2018-07-27 01:06:00,47.8
2018-07-27 01:08:00,47.9
2018-07-27 01:10:00,48.1
2018-07-27 01:12:00,48.1
2018-07-27 01:14:00,48.3
2018-07-27 01:16:00,48.2
2018-07-27 01:18:00,48.5
2018-07-27 01:20:00,48.9
2018-07-27 01:22:00,49.1
2018-07-27 01:24:00,49.4
2018-07-27 01:26:00,49.9
2018-07-27 01:28:00,50.1
2018-07-27 01:30:00,50.3
2018-07-27 01:32:00,50.3
2018-07-27 01:34:00,50.3
2018-07-27 01:36:00,50.5
2018-07-27 01:38:00,50.6
2018-07-27 01:40:00,50.9
2018-07-27 01:42:00,51
2018-07-27 01:44:00,51.2
2018-07-27 01:46:00,51.1
2018-07-27 01:48:00,51.2
2018-07-27 01:50:00,51.4
2018-07-27 01:52:00,51.8
2018-07-27 01:54:00,51.9
2018-07-27 01:56:00,52.4
2018-07-27 01:58:00,52.4
2018-07-27 02:00:00,52.5
2018-07-27 02:02:00,52.4
2018-07-27 02:04:00,52.4
2018-07-27 02:06:00,52.5
2018-07-27 02:08:00,52.7
2018-07-27 02:10:00,52.8
2018-07-27 02:12:00,53.0
2018-07-27 02:14:00,53.2
2018-07-27 02:16:00,53.8
2018-07-27 02:18:00,53.9
2018-07-27 02:20:00,54.3
2018-07-27 02:22:00,54.6
2018-07-27 02:24:00,54.9
2018-07-27 02:26:00,55.1
2018-07-27 02:28:00,55.5
2018-07-27 02:30:00,56.1
2018-07-27 02:32:00,56.1
2018-07-27 02:34:00,56.1
2018-07-27 02:36:00,56.2
2018-07-27 02:38:00,56.4
2018-07-27 02:40:00,56.1
2018-07-27 02:42:00,56.0
2018-07-27 02:44:00,56.6
2018-07-27 02:46:00,57.1
2018-07-27 02:48:00,57.3
2018-07-27 02:50:00,57.7
2018-07-27 02:52:00,58.0
2018-07-27 02:54:00,58.3
2018-07-27 02:56:00,58.5
2018-07-27 02:58:00,58.7
2018-07-27 03:00:00,59.0
2018-07-27 03:02:00,59.7
2018-07-27 03:04:00,59.0
2018-07-27 03:06:00,58.4
2018-07-27 03:08:00,58.8
2018-07-27 03:10:00,58.7
2018-07-27 03:12:00,57.9
2018-07-27 03:14:00,57.7
2018-07-27 03:16:00,58.4
2018-07-27 03:18:00,59.1
2018-07-27 03:20:00,59.4
2018-07-27 03:22:00,60.0
2018-07-27 03:24:00,60.5
2018-07-27 03:26:00,60.8
2018-07-27 03:28:00,60.9
2018-07-27 03:30:00,60.8
2018-07-27 03:32:00,61.2
2018-07-27 03:34:00,61.0
2018-07-27 03:36:00,61.2
2018-07-27 03:38:00,61.5
2018-07-27 03:40:00,61.5
2018-07-27 03:42:00,61.4
2018-07-27 03:44:00,61.5
2018-07-27 03:46:00,61.6
2018-07-27 03:48:00,60.9
2018-07-27 03:50:00,60.3
2018-07-27 03:52:00,60.1
2018-07-27 03:54:00,59.8
2018-07-27 03:56:00,59.7
2018-07-27 03:58:00,59.9
2018-07-27 04:00:00,60.5
2018-07-27 04:02:00,61
2018-07-27 04:04:00,61.3
2018-07-27 04:06:00,61.8
2018-07-27 04:08:00,62.2
2018-07-27 04:10:00,62.5
2018-07-27 04:12:00,63.1
2018-07-27 04:14:00,63.6
2018-07-27 04:16:00,64.1
2018-07-27 04:18:00,64.5
2018-07-27 04:20:00,64.9
2018-07-27 04:22:00,65.2
2018-07-27 04:24:00,65.4
2018-07-27 04:26:00,65.5
2018-07-27 04:28:00,65.7
2018-07-27 04:30:00,65.8
2018-07-27 04:32:00,65.8
2018-07-27 04:34:00,65.9
2018-07-27 04:36:00,66.0
2018-07-27 04:38:00,66.0
2018-07-27 04:40:00,66
2018-07-27 04:42:00,66.0
2018-07-27 04:44:00,65.9
2018-07-27 04:46:00,65.8
2018-07-27 04:48:00,65.6
2018-07-27 04:50:00,65.6
2018-07-27 04:52:00,65.2
2018-07-27 04:54:00,65
2018-07-27 04:56:00,64.9
2018-07-27 04:58:00,64.6
2018-07-27 05:00:00,64.3
2018-07-27 05:02:00,63.6
2018-07-27 05:04:00,63.4
2018-07-27 05:06:00,63.0
2018-07-27 05:08:00,62.5
2018-07-27 05:10:00,62.1
2018-07-27 05:12:00,61.4
2018-07-27 05:14:00,60.9
2018-07-27 05:16:00,60.8
2018-07-27 05:18:00,60.2
2018-07-27 05:20:00,60
2018-07-27 05:22:00,59.3
2018-07-27 05:24:00,58.9
2018-07-27 05:26:00,58.5
2018-07-27 05:28:00,58.2
2018-07-27 05:30:00,57.8
2018-07-27 05:32:00,57.1
2018-07-27 05:34:00,56.5
2018-07-27 05:36:00,56.0
2018-07-27 05:38:00,55.5
2018-07-27 05:40:00,55.1
2018-07-27 05:42:00,54.4
2018-07-27 05:44:00,54.1
2018-07-27 05:46:00,53.8
2018-07-27 05:48:00,53.4
2018-07-27 05:50:00,53.0
2018-07-27 05:52:00,52.7
2018-07-27 05:54:00,52.2
2018-07-27 05:56:00,51.5
2018-07-27 05:58:00,51
2018-07-27 06:00:00,50.3
2018-07-27 06:02:00,49.5
2018-07-27 06:04:00,49.1
2018-07-27 06:06:00,48.5
2018-07-27 06:08:00,48.1
2018-07-27 06:10:00,47.6
2018-07-27 06:12:00,47.5
2018-07-27 06:14:00,47.4
2018-07-27 06:16:00,46.7
2018-07-27 06:18:00,46.4
2018-07-27 06:20:00,46.5
2018-07-27 06:22:00,46.1
2018-07-27 06:24:00,45.9
2018-07-27 06:26:00,45.8
2018-07-27 06:28:00,45.7
2018-07-27 06:30:00,45.4
2018-07-27 06:32:00,45.2
2018-07-27 06:34:00,44.9
2018-07-27 06:36:00,44.6
2018-07-27 06:38:00,44.4
2018-07-27 06:40:00,44.3
2018-07-27 06:42:00,44.1
2018-07-27 06:44:00,43.5
2018-07-27 06:46:00,43.6
2018-07-27 06:48:00,43.5
2018-07-27 06:50:00,42.9
2018-07-27 06:52:00,43.1
2018-07-27 06:54:00,43.1
2018-07-27 06:56:00,42.7
2018-07-27 06:58:00,41.9
2018-07-27 07:00:00,41.8
2018-07-27 07:02:00,41.5
2018-07-27 07:04:00,41.5
2018-07-27 07:06:00,41.6
2018-07-27 07:08:00,41.6
2018-07-27 07:10:00,41.0
2018-07-27 07:12:00,40.8
2018-07-27 07:14:00,40.8
2018-07-27 07:16:00,40.5
2018-07-27 07:18:00,40.7
2018-07-27 07:20:00,41
2018-07-27 07:22:00,40.9
2018-07-27 07:24:00,40.7
2018-07-27 07:26:00,40.2
