"Time","relative_humidity.mean"
2017-06-13 22:00:00,81.6
2017-06-13 22:02:00,81.4
2017-06-13 22:04:00,81.1
2017-06-13 22:06:00,80.8
2017-06-13 22:08:00,80.3
2017-06-13 22:10:00,79.8
2017-06-13 22:12:00,79.5
2017-06-13 22:14:00,79.2
2017-06-13 22:16:00,79.3
2017-06-13 22:18:00,79.5
2017-06-13 22:20:00,79.7
2017-06-13 22:22:00,80.1
2017-06-13 22:24:00,80.4
2017-06-13 22:26:00,80.9
2017-06-13 22:28:00,81.2
2017-06-13 22:30:00,81.4
2017-06-13 22:32:00,81.5
2017-06-13 22:34:00,81.7
2017-06-13 22:36:00,81.9
2017-06-13 22:38:00,82.4
2017-06-13 22:40:00,83.1
2017-06-13 22:42:00,83.8
2017-06-13 22:44:00,84.4
2017-06-13 22:46:00,84.7
2017-06-13 22:48:00,85.2
2017-06-13 22:50:00,85.6
2017-06-13 22:52:00,86
2017-06-13 22:54:00,86.3
2017-06-13 22:56:00,86.6
2017-06-13 22:58:00,87.0
2017-06-13 23:00:00,87.2
2017-06-13 23:02:00,87.3
2017-06-13 23:04:00,87.3
2017-06-13 23:06:00,87.8
2017-06-13 23:08:00,87.4
2017-06-13 23:10:00,87.4
2017-06-13 23:12:00,87.5
2017-06-13 23:14:00,87.6
2017-06-13 23:16:00,87.3
2017-06-13 23:18:00,86.5
2017-06-13 23:20:00,85.4
2017-06-13 23:22:00,85
2017-06-13 23:24:00,84.8
2017-06-13 23:26:00,84.4
2017-06-13 23:28:00,83.9
2017-06-13 23:30:00,83.4
2017-06-13 23:32:00,83.1
2017-06-13 23:34:00,82.7
2017-06-13 23:36:00,82.7
2017-06-13 23:38:00,82.7
2017-06-13 23:40:00,82.9
2017-06-13 23:42:00,83.5
2017-06-13 23:44:00,83.8
2017-06-13 23:46:00,84.0
2017-06-13 23:48:00,84.1
2017-06-13 23:50:00,84.4
2017-06-13 23:52:00,84.5
2017-06-13 23:54:00,84.8
2017-06-13 23:56:00,85.4
2017-06-13 23:58:00,86.2
2017-06-14 00:00:00,86.9
2017-06-14 00:02:00,87.4
2017-06-14 00:04:00,87.9
2017-06-14 00:06:00,88.0
2017-06-14 00:08:00,88.3
2017-06-14 00:10:00,88.2
2017-06-14 00:12:00,88.2
2017-06-14 00:14:00,88.8
2017-06-14 00:16:00,89.0
2017-06-14 00:18:00,89.4
2017-06-14 00:20:00,89.7
2017-06-14 00:22:00,89.9
2017-06-14 00:24:00,90.1
2017-06-14 00:26:00,90.4
2017-06-14 00:28:00,90.7
2017-06-14 00:30:00,90.8
2017-06-14 00:32:00,90.9
2017-06-14 00:34:00,91.2
2017-06-14 00:36:00,91.6
2017-06-14 00:38:00,91.7
2017-06-14 00:40:00,91.9
2017-06-14 00:42:00,92.2
2017-06-14 00:44:00,92.3
2017-06-14 00:46:00,92.5
2017-06-14 00:48:00,92.6
2017-06-14 00:50:00,92.8
2017-06-14 00:52:00,92.8
2017-06-14 00:54:00,92.5
2017-06-14 00:56:00,92.7
2017-06-14 00:58:00,92.8
2017-06-14 01:00:00,92.8
2017-06-14 01:02:00,92.8
2017-06-14 01:04:00,92.9
2017-06-14 01:06:00,93.2
2017-06-14 01:08:00,93.3
2017-06-14 01:10:00,93.3
2017-06-14 01:12:00,93.4
2017-06-14 01:14:00,93.5
2017-06-14 01:16:00,93.6
2017-06-14 01:18:00,93.5
2017-06-14 01:20:00,93.7
2017-06-14 01:22:00,93.7
2017-06-14 01:24:00,93.6
2017-06-14 01:26:00,93.6
2017-06-14 01:28:00,93.7
2017-06-14 01:30:00,93.5
2017-06-14 01:32:00,93.4
2017-06-14 01:34:00,93.6
2017-06-14 01:36:00,93.7
2017-06-14 01:38:00,93.9
2017-06-14 01:40:00,94.1
2017-06-14 01:42:00,94.2
2017-06-14 01:44:00,94.3
2017-06-14 01:46:00,94.2
2017-06-14 01:48:00,94
2017-06-14 01:50:00,94.0
2017-06-14 01:52:00,94.2
2017-06-14 01:54:00,94.3
2017-06-14 01:56:00,94.4
2017-06-14 01:58:00,94.4
2017-06-14 02:00:00,94.5
2017-06-14 02:02:00,94.5
2017-06-14 02:04:00,94.6
2017-06-14 02:06:00,94.6
2017-06-14 02:08:00,94.6
2017-06-14 02:10:00,94.4
2017-06-14 02:12:00,94.3
2017-06-14 02:14:00,94.4
2017-06-14 02:16:00,94.5
2017-06-14 02:18:00,94.6
2017-06-14 02:20:00,94.8
2017-06-14 02:22:00,94.8
2017-06-14 02:24:00,94.8
2017-06-14 02:26:00,95.0
2017-06-14 02:28:00,95.1
2017-06-14 02:30:00,95.1
2017-06-14 02:32:00,94.9
2017-06-14 02:34:00,94.9
2017-06-14 02:36:00,94.9
2017-06-14 02:38:00,95.1
2017-06-14 02:40:00,95
2017-06-14 02:42:00,95.0
2017-06-14 02:44:00,95.0
2017-06-14 02:46:00,95.2
2017-06-14 02:48:00,95.3
2017-06-14 02:50:00,95.4
2017-06-14 02:52:00,95.8
2017-06-14 02:54:00,95.9
2017-06-14 02:56:00,95.9
2017-06-14 02:58:00,95.9
2017-06-14 03:00:00,95.9
2017-06-14 03:02:00,96.1
2017-06-14 03:04:00,96.1
2017-06-14 03:06:00,96.1
2017-06-14 03:08:00,96.2
2017-06-14 03:10:00,96.1
2017-06-14 03:12:00,96.1
2017-06-14 03:14:00,96.2
2017-06-14 03:16:00,96.1
2017-06-14 03:18:00,96.2
2017-06-14 03:20:00,96.3
2017-06-14 03:22:00,96.2
2017-06-14 03:24:00,96.3
2017-06-14 03:26:00,96.4
2017-06-14 03:28:00,96.4
2017-06-14 03:30:00,96.4
2017-06-14 03:32:00,96.5
2017-06-14 03:34:00,96.6
2017-06-14 03:36:00,96.7
2017-06-14 03:38:00,96.8
2017-06-14 03:40:00,96.7
2017-06-14 03:42:00,96.4
2017-06-14 03:44:00,96.6
2017-06-14 03:46:00,96.7
2017-06-14 03:48:00,96.8
2017-06-14 03:50:00,96.8
2017-06-14 03:52:00,96.7
2017-06-14 03:54:00,97
2017-06-14 03:56:00,97.1
2017-06-14 03:58:00,97.0
2017-06-14 04:00:00,97
2017-06-14 04:02:00,96.9
2017-06-14 04:04:00,96.8
2017-06-14 04:06:00,96.9
2017-06-14 04:08:00,96.7
2017-06-14 04:10:00,96.7
2017-06-14 04:12:00,96.7
2017-06-14 04:14:00,96.7
2017-06-14 04:16:00,96.7
2017-06-14 04:18:00,96.9
2017-06-14 04:20:00,96.7
2017-06-14 04:22:00,96.6
2017-06-14 04:24:00,96.6
2017-06-14 04:26:00,96.7
2017-06-14 04:28:00,96.6
2017-06-14 04:30:00,96.8
2017-06-14 04:32:00,96.5
2017-06-14 04:34:00,96.5
2017-06-14 04:36:00,96.6
2017-06-14 04:38:00,96.5
2017-06-14 04:40:00,96.7
2017-06-14 04:42:00,96.5
2017-06-14 04:44:00,96.3
2017-06-14 04:46:00,96.3
2017-06-14 04:48:00,96.2
2017-06-14 04:50:00,95.8
2017-06-14 04:52:00,95.6
2017-06-14 04:54:00,95.6
2017-06-14 04:56:00,95.5
2017-06-14 04:58:00,95.2
2017-06-14 05:00:00,94.9
2017-06-14 05:02:00,94.6
2017-06-14 05:04:00,94.1
2017-06-14 05:06:00,93.8
2017-06-14 05:08:00,93.3
2017-06-14 05:10:00,92.9
2017-06-14 05:12:00,92.5
2017-06-14 05:14:00,92.2
2017-06-14 05:16:00,91.5
2017-06-14 05:18:00,91.1
2017-06-14 05:20:00,90.6
2017-06-14 05:22:00,89.5
2017-06-14 05:24:00,88.9
2017-06-14 05:26:00,87.7
2017-06-14 05:28:00,86.4
2017-06-14 05:30:00,85.2
2017-06-14 05:32:00,84.4
2017-06-14 05:34:00,83.9
2017-06-14 05:36:00,83.0
2017-06-14 05:38:00,82.6
2017-06-14 05:40:00,82.3
2017-06-14 05:42:00,82.0
2017-06-14 05:44:00,81.1
2017-06-14 05:46:00,80.8
2017-06-14 05:48:00,80.2
2017-06-14 05:50:00,79.9
2017-06-14 05:52:00,79.6
2017-06-14 05:54:00,79.4
2017-06-14 05:56:00,78.7
2017-06-14 05:58:00,79
2017-06-14 06:00:00,78.3
2017-06-14 06:02:00,77.7
2017-06-14 06:04:00,77.1
2017-06-14 06:06:00,76.6
2017-06-14 06:08:00,76.1
2017-06-14 06:10:00,75.2
2017-06-14 06:12:00,75.1
2017-06-14 06:14:00,74.8
2017-06-14 06:16:00,74.3
2017-06-14 06:18:00,73.9
2017-06-14 06:20:00,73.6
2017-06-14 06:22:00,74.2
2017-06-14 06:24:00,73
2017-06-14 06:26:00,73.2
2017-06-14 06:28:00,72.8
2017-06-14 06:30:00,72.6
2017-06-14 06:32:00,72.2
2017-06-14 06:34:00,71.9
2017-06-14 06:36:00,71.6
2017-06-14 06:38:00,71.0
2017-06-14 06:40:00,70.4
2017-06-14 06:42:00,70.7
2017-06-14 06:44:00,70.3
2017-06-14 06:46:00,69.4
2017-06-14 06:48:00,68.2
2017-06-14 06:50:00,68.1
2017-06-14 06:52:00,68.0
2017-06-14 06:54:00,67.4
2017-06-14 06:56:00,66.9
2017-06-14 06:58:00,66.6
2017-06-14 07:00:00,66.6
2017-06-14 07:02:00,66.4
2017-06-14 07:04:00,66.2
2017-06-14 07:06:00,66.7
2017-06-14 07:08:00,67.4
2017-06-14 07:10:00,67.2
2017-06-14 07:12:00,67.8
2017-06-14 07:14:00,68.2
2017-06-14 07:16:00,68.2
2017-06-14 07:18:00,67.5
2017-06-14 07:20:00,67.1
2017-06-14 07:22:00,66.0
2017-06-14 07:24:00,65.3
2017-06-14 07:26:00,64.7
2017-06-14 07:28:00,64.9
2017-06-14 07:30:00,64.9
2017-06-14 07:32:00,64.6
2017-06-14 07:34:00,64.0
2017-06-14 07:36:00,63.8
2017-06-14 07:38:00,64.0
2017-06-14 07:40:00,64.2
2017-06-14 07:42:00,63.5
2017-06-14 07:44:00,62.7
2017-06-14 07:46:00,61.9
2017-06-14 07:48:00,61.7
2017-06-14 07:50:00,61.2
2017-06-14 07:52:00,61.6
2017-06-14 07:54:00,60.6
2017-06-14 07:56:00,61.5
2017-06-14 07:58:00,61.6
2017-06-14 08:00:00,60.6
2017-06-14 08:02:00,60.6
2017-06-14 08:04:00,60.1
2017-06-14 08:06:00,58.9
2017-06-14 08:08:00,58.7
2017-06-14 08:10:00,59.2
2017-06-14 08:12:00,59.5
2017-06-14 08:14:00,59.2
2017-06-14 08:16:00,59.4
2017-06-14 08:18:00,59.0
2017-06-14 08:20:00,58.5
2017-06-14 08:22:00,58.3
2017-06-14 08:24:00,57.4
2017-06-14 08:26:00,56.9
2017-06-14 08:28:00,57.2
2017-06-14 08:30:00,57.0
2017-06-14 08:32:00,57.3
2017-06-14 08:34:00,56.5
2017-06-14 08:36:00,55.3
2017-06-14 08:38:00,55
2017-06-14 08:40:00,55.0
2017-06-14 08:42:00,55.8
2017-06-14 08:44:00,55.6
2017-06-14 08:46:00,56.2
2017-06-14 08:48:00,55.6
2017-06-14 08:50:00,55.3
2017-06-14 08:52:00,54.2
2017-06-14 08:54:00,54.6
2017-06-14 08:56:00,54.4
2017-06-14 08:58:00,55.0
