"Time","temperature.mean {measurement_interpolationtype: Continuous_Instantaneous, sensor_device: WS301}"
2017-06-13 22:00:00,13.2
2017-06-13 22:02:00,13.2
2017-06-13 22:04:00,13.3
2017-06-13 22:06:00,13.4
2017-06-13 22:08:00,13.4
2017-06-13 22:10:00,13.5
2017-06-13 22:12:00,13.5
2017-06-13 22:14:00,13.4
2017-06-13 22:16:00,13.4
2017-06-13 22:18:00,13.2
2017-06-13 22:20:00,13.1
2017-06-13 22:22:00,13
2017-06-13 22:24:00,13.0
2017-06-13 22:26:00,12.9
2017-06-13 22:28:00,12.9
2017-06-13 22:30:00,12.8
2017-06-13 22:32:00,12.8
2017-06-13 22:34:00,12.7
2017-06-13 22:36:00,12.7
2017-06-13 22:38:00,12.6
2017-06-13 22:40:00,12.5
2017-06-13 22:42:00,12.3
2017-06-13 22:44:00,12.2
2017-06-13 22:46:00,12.2
2017-06-13 22:48:00,12.1
2017-06-13 22:50:00,12.1
2017-06-13 22:52:00,12.0
2017-06-13 22:54:00,11.9
2017-06-13 22:56:00,11.8
2017-06-13 22:58:00,11.8
2017-06-13 23:00:00,11.7
2017-06-13 23:02:00,11.6
2017-06-13 23:04:00,11.6
2017-06-13 23:06:00,11.5
2017-06-13 23:08:00,11.6
2017-06-13 23:10:00,11.6
2017-06-13 23:12:00,11.6
2017-06-13 23:14:00,11.6
2017-06-13 23:16:00,11.6
2017-06-13 23:18:00,11.8
2017-06-13 23:20:00,12.1
2017-06-13 23:22:00,12.1
2017-06-13 23:24:00,12.1
2017-06-13 23:26:00,12.1
2017-06-13 23:28:00,12.1
2017-06-13 23:30:00,12.4
2017-06-13 23:32:00,12.4
2017-06-13 23:34:00,12.5
2017-06-13 23:36:00,12.4
2017-06-13 23:38:00,12.3
2017-06-13 23:40:00,12.2
2017-06-13 23:42:00,12.1
2017-06-13 23:44:00,12
2017-06-13 23:46:00,11.9
2017-06-13 23:48:00,11.9
2017-06-13 23:50:00,11.9
2017-06-13 23:52:00,11.8
2017-06-13 23:54:00,11.8
2017-06-13 23:56:00,11.6
2017-06-13 23:58:00,11.5
2017-06-14 00:00:00,11.4
2017-06-14 00:02:00,11.3
2017-06-14 00:04:00,11.3
2017-06-14 00:06:00,11.1
2017-06-14 00:08:00,11.1
2017-06-14 00:10:00,11.2
2017-06-14 00:12:00,11.1
2017-06-14 00:14:00,11.1
2017-06-14 00:16:00,10.9
2017-06-14 00:18:00,10.8
2017-06-14 00:20:00,10.9
2017-06-14 00:22:00,10.8
2017-06-14 00:24:00,10.7
2017-06-14 00:26:00,10.6
2017-06-14 00:28:00,10.7
2017-06-14 00:30:00,10.6
2017-06-14 00:32:00,10.5
2017-06-14 00:34:00,10.4
2017-06-14 00:36:00,10.4
2017-06-14 00:38:00,10.4
2017-06-14 00:40:00,10.4
2017-06-14 00:42:00,10.4
2017-06-14 00:44:00,10.3
2017-06-14 00:46:00,10.3
2017-06-14 00:48:00,10.3
2017-06-14 00:50:00,10.4
2017-06-14 00:52:00,10.3
2017-06-14 00:54:00,10.2
2017-06-14 00:56:00,10.2
2017-06-14 00:58:00,10.2
2017-06-14 01:00:00,10.1
2017-06-14 01:02:00,10.1
2017-06-14 01:04:00,10.1
2017-06-14 01:06:00,10.1
2017-06-14 01:08:00,10.1
2017-06-14 01:10:00,10.1
2017-06-14 01:12:00,10.1
2017-06-14 01:14:00,10.1
2017-06-14 01:16:00,10.1
2017-06-14 01:18:00,10.1
2017-06-14 01:20:00,10.1
2017-06-14 01:22:00,10
2017-06-14 01:24:00,9.95
2017-06-14 01:26:00,10
2017-06-14 01:28:00,10
2017-06-14 01:30:00,9.90
2017-06-14 01:32:00,9.75
2017-06-14 01:34:00,9.60
2017-06-14 01:36:00,9.60
2017-06-14 01:38:00,9.65
2017-06-14 01:40:00,9.70
2017-06-14 01:42:00,9.70
2017-06-14 01:44:00,9.70
2017-06-14 01:46:00,9.70
2017-06-14 01:48:00,9.55
2017-06-14 01:50:00,9.50
2017-06-14 01:52:00,9.50
2017-06-14 01:54:00,9.55
2017-06-14 01:56:00,9.60
2017-06-14 01:58:00,9.65
2017-06-14 02:00:00,9.60
2017-06-14 02:02:00,9.60
2017-06-14 02:04:00,9.60
2017-06-14 02:06:00,9.55
2017-06-14 02:08:00,9.50
2017-06-14 02:10:00,9.40
2017-06-14 02:12:00,9.30
2017-06-14 02:14:00,9.25
2017-06-14 02:16:00,9.20
2017-06-14 02:18:00,9.20
2017-06-14 02:20:00,9.20
2017-06-14 02:22:00,9.15
2017-06-14 02:24:00,9.10
2017-06-14 02:26:00,9.10
2017-06-14 02:28:00,9.05
2017-06-14 02:30:00,9
2017-06-14 02:32:00,8.95
2017-06-14 02:34:00,8.90
2017-06-14 02:36:00,8.85
2017-06-14 02:38:00,8.90
2017-06-14 02:40:00,8.90
2017-06-14 02:42:00,8.85
2017-06-14 02:44:00,8.75
2017-06-14 02:46:00,8.65
2017-06-14 02:48:00,8.60
2017-06-14 02:50:00,8.50
2017-06-14 02:52:00,8.65
2017-06-14 02:54:00,8.70
2017-06-14 02:56:00,8.70
2017-06-14 02:58:00,8.60
2017-06-14 03:00:00,8.60
2017-06-14 03:02:00,8.60
2017-06-14 03:04:00,8.60
2017-06-14 03:06:00,8.50
2017-06-14 03:08:00,8.55
2017-06-14 03:10:00,8.50
2017-06-14 03:12:00,8.50
2017-06-14 03:14:00,8.50
2017-06-14 03:16:00,8.40
2017-06-14 03:18:00,8.45
2017-06-14 03:20:00,8.50
2017-06-14 03:22:00,8.50
2017-06-14 03:24:00,8.50
2017-06-14 03:26:00,8.50
2017-06-14 03:28:00,8.50
2017-06-14 03:30:00,8.50
2017-06-14 03:32:00,8.50
2017-06-14 03:34:00,8.50
2017-06-14 03:36:00,8.45
2017-06-14 03:38:00,8.40
2017-06-14 03:40:00,8.45
2017-06-14 03:42:00,8.30
2017-06-14 03:44:00,8.35
2017-06-14 03:46:00,8.35
2017-06-14 03:48:00,8.45
2017-06-14 03:50:00,8.50
2017-06-14 03:52:00,8.40
2017-06-14 03:54:00,8.50
2017-06-14 03:56:00,8.55
2017-06-14 03:58:00,8.60
2017-06-14 04:00:00,8.60
2017-06-14 04:02:00,8.55
2017-06-14 04:04:00,8.50
2017-06-14 04:06:00,8.55
2017-06-14 04:08:00,8.50
2017-06-14 04:10:00,8.55
2017-06-14 04:12:00,8.60
2017-06-14 04:14:00,8.60
2017-06-14 04:16:00,8.70
2017-06-14 04:18:00,8.85
2017-06-14 04:20:00,8.85
2017-06-14 04:22:00,8.80
2017-06-14 04:24:00,8.75
2017-06-14 04:26:00,8.75
2017-06-14 04:28:00,8.75
2017-06-14 04:30:00,8.90
2017-06-14 04:32:00,8.90
2017-06-14 04:34:00,8.90
2017-06-14 04:36:00,8.95
2017-06-14 04:38:00,8.95
2017-06-14 04:40:00,9.15
2017-06-14 04:42:00,9.30
2017-06-14 04:44:00,9.30
2017-06-14 04:46:00,9.40
