STATIONS_ID,MESS_DATUM,QN_3,FX.Windspitze,FM.Windgeschwindigkeit,QN_4,RSK.Niederschlagshoehe,RSKF.Niederschlagsform,SDK.Sonnenscheindauer,SHK_TAG.Schneehoehe,NM.Bedeckungsgrad,VPM.Dampfdruck,PM.Luftdruck,TMK.Lufttemperatur,UPM.Relative_Feuchte,TXK.Lufttemperatur_Max,TNK.Lufttemperatur_Min,TGK.Lufttemperatur_5cm_min,eor,ET0.Grasreferenzverdunstung
1766,1989-10-01 00:00:00 UTC,10,9.3,3.3,10,0.1,6,0.3,0,7.7,13.3,1020.1,12.1,92,15.6,10.7,10,eor,0.726950744281824
1766,1989-10-02 00:00:00 UTC,10,12.5,4.8,10,0.3,6,2.9,0,7.3,11.1,1016,12.4,77,15.2,10.5,10.8,eor,1.48281697424257
1766,1989-10-03 00:00:00 UTC,10,9,2.7,10,0,0,10.1,0,1.3,9,1018.6,8.6,77,15.3,4.3,8.1,eor,1.35536690037207
1766,1989-10-04 00:00:00 UTC,10,3.6,0.8,10,0,0,10.5,0,0.7,7.1,1021.2,6.2,77,15.5,-1,-2.1,eor,1.05328729980577
1766,1989-10-05 00:00:00 UTC,10,7.9,2.3,10,0.9,6,10.1,0,1.7,9,1016.4,11.1,70,19.6,3,1,eor,1.52692646371574
1766,1989-10-06 00:00:00 UTC,10,11.5,4.3,10,11.1,6,3.4,0,7.7,11.7,1009.2,11.5,83,15.2,8.2,5.1,eor,1.14347405167731
1766,1989-10-07 00:00:00 UTC,10,9.9,4.3,10,11.7,6,0,0,7.3,10.5,1001.6,9.2,90,12.1,8.2,8,eor,0.681327594158644
1766,1989-10-08 00:00:00 UTC,10,7.8,2.7,10,0.9,6,0.7,0,7.7,10.6,1007.3,9,93,11.2,6.2,5,eor,0.574659698040851
1766,1989-10-09 00:00:00 UTC,10,6.2,2.2,10,2.6,6,0,0,6.7,11.1,1008.6,9.3,95,11.1,8.4,7.1,eor,0.497048626850353
1766,1989-10-10 00:00:00 UTC,10,9.9,3.9,10,1.4,6,3.6,0,6.3,9.2,1010.6,8.2,83,12.1,5.7,5.3,eor,0.934242287228621
1766,1989-10-11 00:00:00 UTC,10,12,5,10,0.1,6,4.1,0,5.3,9.5,1009.5,9.9,76,13,7.2,5.9,eor,1.33022278304017
1766,1989-10-12 00:00:00 UTC,10,11.4,4.6,10,0,6,0,0,7.7,13.1,1011,12.6,91,14,5.7,3.8,eor,0.714588713229491
1766,1989-10-13 00:00:00 UTC,10,14.7,6.1,10,7.7,6,0.6,0,7.7,12.9,1005.2,12.4,87,15.3,10.5,12.2,eor,0.955054681902073
1766,1989-10-14 00:00:00 UTC,10,15.4,5,10,2.1,6,1.8,0,3.7,9.8,1003.8,8.6,85,11.8,6.6,7.6,eor,0.861227895849065
1766,1989-10-15 00:00:00 UTC,10,11.1,4,10,0,6,8.4,0,4,9.3,1015.7,8.4,84,13.7,4.5,3,eor,0.963992641300053
1766,1989-10-16 00:00:00 UTC,10,12.1,4.6,10,0,0,0.8,0,6.3,10.9,1019.3,11.2,82,14.5,5.7,4.7,eor,1.0079444897013
1766,1989-10-17 00:00:00 UTC,10,7,2.4,10,0,0,8,0,2.7,10.6,1020.9,9.9,84,16.3,6.9,6.3,eor,0.874836792453099
1766,1989-10-18 00:00:00 UTC,10,4.1,1.3,10,0.4,6,9.4,0,3.3,9.6,1014.7,9.4,81,18.4,5.1,1.8,eor,0.798234039221663
1766,1989-10-19 00:00:00 UTC,10,4.1,1.8,10,0.1,6,1.8,0,5.3,12.6,1007,11.9,91,16.3,6,4.3,eor,0.583300302522354
1766,1989-10-20 00:00:00 UTC,10,17.6,5,10,2.3,6,4.2,0,3.3,11.2,1002,12,77,15.2,9.7,8.5,eor,1.2970526615434
1766,1989-10-21 00:00:00 UTC,10,20.8,7.4,10,0,6,2.7,0,7,13.5,1004.5,18.1,66,20.8,9.4,8.3,eor,2.63913045463916
1766,1989-10-22 00:00:00 UTC,10,13.6,5,10,0,0,8.9,0,0,12.9,1010.1,17.8,65,22.5,12.8,12.2,eor,2.241255293865
1766,1989-10-23 00:00:00 UTC,10,5.9,1.6,10,0.4,6,3.6,0,6,14.2,1011.8,15.1,83,19.1,11.6,10.4,eor,0.771486974534863
1766,1989-10-24 00:00:00 UTC,10,13.1,4,10,0,0,7,0,3.3,12.7,1014.3,12.8,81,18.1,9.3,12.3,eor,1.05953281470793
1766,1989-10-25 00:00:00 UTC,10,11,3.4,10,0,0,8.8,0,1,10.5,1014,10.9,80,17,6.9,5.1,eor,0.934757757901132
1766,1989-10-26 00:00:00 UTC,10,8.6,3.6,10,0.4,6,0,0,7.3,13.2,1013.1,12.7,89,15,8.4,6,eor,0.651408342345061
1766,1989-10-27 00:00:00 UTC,10,9,3.2,10,0,0,6.1,0,1,13.9,1007.3,14.6,83,18.4,10.6,10.5,eor,0.924286894884748
1766,1989-10-28 00:00:00 UTC,10,16.9,4.2,10,2.7,6,5.1,0,3,9.6,1000.3,12.7,66,20.1,8.8,5.6,eor,1.51160476693661
1766,1989-10-29 00:00:00 UTC,10,18.8,6.5,10,12.2,6,0.1,0,7,10.2,1001.7,10.9,80,11.8,9.9,8.9,eor,1.14065145865065
1766,1989-10-30 00:00:00 UTC,10,20.3,7.9,10,4.7,6,0.3,0,8,13.8,1004,13,88,15.8,10.2,10,eor,0.893850971085066
1766,1989-10-31 00:00:00 UTC,10,10.2,3.1,10,0.6,6,0.2,0,6.7,11.5,1010.6,10.3,93,11.5,8.6,7,eor,0.429911168325999
1766,1989-11-01 00:00:00 UTC,10,7,1.8,10,4.3,6,0.3,0,7,12.1,1010.4,11.2,91,13.3,9.5,9.2,eor,0.428672352575451
1766,1989-11-02 00:00:00 UTC,10,8.5,2.8,10,0,6,3.9,0,7,12.1,1005.7,11.6,87,15,9,8.4,eor,0.573722776390474
1766,1989-11-03 00:00:00 UTC,10,11.5,2.9,10,0,0,0.5,0,5.3,9.7,1003.3,8.4,85,13,5.9,8,eor,0.564812701139638
1766,1989-11-04 00:00:00 UTC,10,12.1,4.3,10,2.8,6,2,0,6.7,9,994.9,8.7,82,11.1,4.9,2.4,eor,0.750368940568918
1766,1989-11-05 00:00:00 UTC,10,10.9,3,10,1.1,6,3.4,0,6.7,8.4,991.5,5.4,87,9.5,2.1,6.4,eor,0.41897925393299
1766,1989-11-06 00:00:00 UTC,10,5.2,1.9,10,0,6,0.1,0,8,8.3,999.8,4.4,98,7.5,2.1,1.5,eor,0.20765469519533
1766,1989-11-07 00:00:00 UTC,10,5.9,2.3,10,0,0,0,0,6,8,1006.2,4.1,95,6.3,2.6,4,eor,0.250095382461276
1766,1989-11-08 00:00:00 UTC,10,18,4.4,10,1.5,6,0.1,0,7.3,7.8,1001.5,7.9,75,9.9,2.5,0.6,eor,0.956747332210747
1766,1989-11-09 00:00:00 UTC,10,16.8,6.2,10,0,6,2.8,0,4.7,7.8,1011,6.4,79,10.6,4.6,6.6,eor,0.866053227396445
1766,1989-11-10 00:00:00 UTC,10,12.2,5.1,10,0.9,6,0,0,6,9.3,1012.7,7.8,89,9.8,2.9,1.3,eor,0.530238464423357
1766,1989-11-11 00:00:00 UTC,10,6.5,2.4,10,0,0,5.8,0,4,8.6,1016.6,7.5,81,12.8,5,2.7,eor,0.410374508161292
1766,1989-11-12 00:00:00 UTC,10,4.7,1.5,10,0,0,8.2,0,2,7,1019.9,6,76,14.6,1,-1.4,eor,0.2359992157625
1766,1989-11-13 00:00:00 UTC,10,3,0.8,10,0,0,6.2,0,4.7,6.4,1022.7,3.2,83,11.6,-0.9,-2.6,eor,0.096807969939615
1766,1989-11-14 00:00:00 UTC,10,5,1.6,10,0,0,7.5,0,3,7.7,1020.6,6.2,84,11.2,-1.5,-2.7,eor,0.159667268889232
1766,1989-11-15 00:00:00 UTC,10,10.2,3.8,10,0,0,5.6,0,3.3,8.4,1020.2,7.4,78,12.6,5.1,4.5,eor,0.599604270273252
1766,1989-11-16 00:00:00 UTC,10,9.2,2.9,10,0,0,7.7,0,0.3,6.1,1020.6,2.9,81,7.4,-0.7,-0.3,eor,0.27622736826804
1766,1989-11-17 00:00:00 UTC,10,13.5,5.2,10,0,0,7.3,0,0.7,4.9,1014.8,2.6,66,5.8,0.8,-0.5,eor,0.852228497593802
1766,1989-11-18 00:00:00 UTC,10,11,4.7,10,0,0,7.7,0,0,3.7,1011.2,2.4,51,6.4,-0.3,-2.1,eor,1.12085020654243
1766,1989-11-19 00:00:00 UTC,10,6,1.8,10,0,0,7.7,0,0.3,4.5,1009.3,1,68,8.2,-2,-3.6,eor,0.234266664655467
1766,1989-11-20 00:00:00 UTC,10,3.4,1,10,0,0,6.2,0,2,5.9,1009.8,1.6,83,9.3,-3.3,-4.5,eor,0.029546046058538
1766,1989-11-21 00:00:00 UTC,10,6.5,1.4,10,0.2,6,4.9,0,5.3,6.8,1004.1,5.1,80,10.7,-1.8,-3.5,eor,0.160262629584795
1766,1989-11-22 00:00:00 UTC,10,11,2.9,10,0.4,8,4.2,0,3.3,6.1,1002.9,0.3,92,6.4,-2.3,1,eor,0.109443222187947
1766,1989-11-23 00:00:00 UTC,10,8.4,3,10,2.5,6,1,0,5.3,6.4,1004.1,2.2,92,4.1,-3.4,-5,eor,0.212984394303864
1766,1989-11-24 00:00:00 UTC,10,9.9,4.8,10,2.4,6,0,0,5,7,1002.9,2.2,87,6.4,-1.1,3.4,eor,0.414562892228739
1766,1989-11-25 00:00:00 UTC,10,9.5,3,10,0,0,6.9,0,3.7,3.5,1015.3,-2,71,1.4,-7.4,-9.2,eor,0.314215619863366
1766,1989-11-26 00:00:00 UTC,10,16,7.5,10,1.7,6,0.2,0,8,6.9,1008.9,4.1,84,5.4,-1.1,-2.4,eor,0.652829750159982
1766,1989-11-27 00:00:00 UTC,10,12.2,5.4,10,0.6,6,0,0,7.3,9.1,1008.1,6.4,95,7.4,4.6,4.4,eor,0.254071745660953
1766,1989-11-28 00:00:00 UTC,10,7.5,2.2,10,0,0,7,0,0.3,6,1019.3,1.6,83,7.7,-1.1,-0.8,eor,0.059406959056289
1766,1989-11-29 00:00:00 UTC,10,3.2,0.9,10,0,0,7,0,0,4.5,1024.1,-3,89,4,-7,-7.6,eor,-0.105331433778394
1766,1989-11-30 00:00:00 UTC,10,5,1.7,10,0,0,6.7,0,0,3.6,1025.4,-2.1,71,2.7,-8.8,-9.5,eor,0.106481982478912
1766,1989-12-01 00:00:00 UTC,10,4.2,1.5,10,0,0,6.6,0,0,4.2,1031.8,-2.6,81,3.6,-6.8,-10.2,eor,-0.002728395499403
1766,1989-12-02 00:00:00 UTC,10,3.5,1,10,0,0,6.8,0,1.7,4.1,1033.5,-1.7,77,8.2,-7.1,-8.6,eor,-0.063670400126091
1766,1989-12-03 00:00:00 UTC,10,2.4,1.1,10,0,0,6.7,0,1,4.4,1029.8,-1.5,79,8.1,-7.5,-8.7,eor,-0.06272607389315
1766,1989-12-04 00:00:00 UTC,10,2.6,1.1,10,0.2,6,0,0,5.7,5.7,1025.8,0,93,2.8,-7.6,-9.6,eor,0.12909424453569
1766,1989-12-05 00:00:00 UTC,10,3.9,1.5,10,0.5,6,1.7,0,7,7.4,1022.8,3.3,95,5.5,0.6,0.4,eor,0.058671135391798
1766,1989-12-06 00:00:00 UTC,10,9.6,3.4,10,1,6,0,0,7.3,8.5,1016.2,5.4,96,6.5,3.6,1.5,eor,0.169817784477483
1766,1989-12-07 00:00:00 UTC,10,8,2.7,10,0.1,6,1.6,0,7,7.2,1016,3.4,86,7.4,-0.4,3.4,eor,0.254654445634494
1766,1989-12-08 00:00:00 UTC,10,4,1.6,10,0,6,0.8,0,7,6.9,1013.8,2.6,94,5.2,-0.4,-0.4,eor,0.10590111361953
1766,1989-12-09 00:00:00 UTC,10,6,2.6,10,0,0,1.1,0,5,6.9,1013,2.6,92,5.4,0.6,-1.9,eor,0.155259848896098
1766,1989-12-10 00:00:00 UTC,10,4.3,1.4,10,0,6,0,0,5.3,5.3,1013.9,-1.8,99,1.6,-5.5,-6.4,eor,0.069379415016701
1766,1989-12-11 00:00:00 UTC,10,6,2.7,10,0,0,0,0,8,6.6,1006.9,1.7,96,2.5,-1.4,-1,eor,0.128934553261411
1766,1989-12-12 00:00:00 UTC,10,6.4,2.9,10,2.6,8,0,0,6.7,6.9,994.9,3,93,4.4,0,-0.6,eor,0.196001107993079
1766,1989-12-13 00:00:00 UTC,10,6.2,2.2,10,18.8,6,0,0,8,7.8,985.5,3.8,97,5,2.2,2.5,eor,0.116064537660345
1766,1989-12-14 00:00:00 UTC,10,17.1,7,10,9.7,6,0,0,7.7,10.5,980.9,10.7,84,13,3.4,3.4,eor,0.843316214502207
1766,1989-12-15 00:00:00 UTC,10,20.4,6.9,10,1.3,6,0,0,7.3,8,983.7,5.3,84,12,2.3,9,eor,0.650544739103921
